COUNTRY,Region
AFGHANISTAN,ASIA (EX. NEAR EAST)         
ALBANIA,EASTERN EUROPE                     
ALGERIA,NORTHERN AFRICA                    
AMERICAN SAMOA,OCEANIA                            
ANDORRA,WESTERN EUROPE                     
ANGOLA,SUB-SAHARAN AFRICA                 
ANGUILLA,LATIN AMER. & CARIB    
ANTIGUA & BARBUDA,LATIN AMER. & CARIB    
ARGENTINA,LATIN AMER. & CARIB    
ARMENIA,C.W. OF IND. STATES 
ARUBA,LATIN AMER. & CARIB    
AUSTRALIA,OCEANIA                            
AUSTRIA,WESTERN EUROPE                     
AZERBAIJAN,C.W. OF IND. STATES 
"BAHAMAS, THE",LATIN AMER. & CARIB    
BAHRAIN,NEAR EAST                          
BANGLADESH,ASIA (EX. NEAR EAST)         
BARBADOS,LATIN AMER. & CARIB    
BELARUS,C.W. OF IND. STATES 
BELGIUM,WESTERN EUROPE                     
BELIZE,LATIN AMER. & CARIB    
BENIN,SUB-SAHARAN AFRICA                 
BERMUDA,NORTHERN AMERICA                   
BHUTAN,ASIA (EX. NEAR EAST)         
BOLIVIA,LATIN AMER. & CARIB    
BOSNIA & HERZEGOVINA,EASTERN EUROPE                     
BOTSWANA,SUB-SAHARAN AFRICA                 
BRAZIL,LATIN AMER. & CARIB    
BRITISH VIRGIN IS.,LATIN AMER. & CARIB    
BRUNEI,ASIA (EX. NEAR EAST)         
BULGARIA,EASTERN EUROPE                     
BURKINA FASO,SUB-SAHARAN AFRICA                 
BURMA,ASIA (EX. NEAR EAST)         
BURUNDI,SUB-SAHARAN AFRICA                 
CAMBODIA,ASIA (EX. NEAR EAST)         
CAMEROON,SUB-SAHARAN AFRICA                 
CANADA,NORTHERN AMERICA                   
CAPE VERDE,SUB-SAHARAN AFRICA                 
CAYMAN ISLANDS,LATIN AMER. & CARIB    
CENTRAL AFRICAN REP.,SUB-SAHARAN AFRICA                 
CHAD,SUB-SAHARAN AFRICA                 
CHILE,LATIN AMER. & CARIB    
CHINA,ASIA (EX. NEAR EAST)         
COLOMBIA,LATIN AMER. & CARIB    
COMOROS,SUB-SAHARAN AFRICA                 
"CONGO, DEM. REP.",SUB-SAHARAN AFRICA                 
"CONGO, REPUB. OF THE",SUB-SAHARAN AFRICA                 
COOK ISLANDS,OCEANIA                            
COSTA RICA,LATIN AMER. & CARIB    
COTE D'IVOIRE,SUB-SAHARAN AFRICA                 
CROATIA,EASTERN EUROPE                     
CUBA,LATIN AMER. & CARIB    
CYPRUS,NEAR EAST                          
CZECH REPUBLIC,EASTERN EUROPE                     
DENMARK,WESTERN EUROPE                     
DJIBOUTI,SUB-SAHARAN AFRICA                 
DOMINICA,LATIN AMER. & CARIB    
DOMINICAN REPUBLIC,LATIN AMER. & CARIB    
EAST TIMOR,ASIA (EX. NEAR EAST)         
ECUADOR,LATIN AMER. & CARIB    
EGYPT,NORTHERN AFRICA                    
EL SALVADOR,LATIN AMER. & CARIB    
EQUATORIAL GUINEA,SUB-SAHARAN AFRICA                 
ERITREA,SUB-SAHARAN AFRICA                 
ESTONIA,BALTICS                            
ETHIOPIA,SUB-SAHARAN AFRICA                 
FAROE ISLANDS,WESTERN EUROPE                     
FIJI,OCEANIA                            
FINLAND,WESTERN EUROPE                     
FRANCE,WESTERN EUROPE                     
FRENCH GUIANA,LATIN AMER. & CARIB    
FRENCH POLYNESIA,OCEANIA                            
GABON,SUB-SAHARAN AFRICA                 
"GAMBIA, THE",SUB-SAHARAN AFRICA                 
GAZA STRIP,NEAR EAST                          
GEORGIA,C.W. OF IND. STATES 
GERMANY,WESTERN EUROPE                     
GHANA,SUB-SAHARAN AFRICA                 
GIBRALTAR,WESTERN EUROPE                     
GREECE,WESTERN EUROPE                     
GREENLAND,NORTHERN AMERICA                   
GRENADA,LATIN AMER. & CARIB    
GUADELOUPE,LATIN AMER. & CARIB    
GUAM,OCEANIA                            
GUATEMALA,LATIN AMER. & CARIB    
GUERNSEY,WESTERN EUROPE                     
GUINEA,SUB-SAHARAN AFRICA                 
GUINEA-BISSAU,SUB-SAHARAN AFRICA                 
GUYANA,LATIN AMER. & CARIB    
HAITI,LATIN AMER. & CARIB    
HONDURAS,LATIN AMER. & CARIB    
HONG KONG,ASIA (EX. NEAR EAST)         
HUNGARY,EASTERN EUROPE                     
ICELAND,WESTERN EUROPE                     
INDIA,ASIA (EX. NEAR EAST)         
INDONESIA,ASIA (EX. NEAR EAST)         
IRAN,ASIA (EX. NEAR EAST)         
IRAQ,NEAR EAST                          
IRELAND,WESTERN EUROPE                     
ISLE OF MAN,WESTERN EUROPE                     
ISRAEL,NEAR EAST                          
ITALY,WESTERN EUROPE                     
JAMAICA,LATIN AMER. & CARIB    
JAPAN,ASIA (EX. NEAR EAST)         
JERSEY,WESTERN EUROPE                     
JORDAN,NEAR EAST                          
KAZAKHSTAN,C.W. OF IND. STATES 
KENYA,SUB-SAHARAN AFRICA                 
KIRIBATI,OCEANIA                            
"KOREA, NORTH",ASIA (EX. NEAR EAST)         
"KOREA, SOUTH",ASIA (EX. NEAR EAST)         
KUWAIT,NEAR EAST                          
KYRGYZSTAN,C.W. OF IND. STATES 
LAOS,ASIA (EX. NEAR EAST)         
LATVIA,BALTICS                            
LEBANON,NEAR EAST                          
LESOTHO,SUB-SAHARAN AFRICA                 
LIBERIA,SUB-SAHARAN AFRICA                 
LIBYA,NORTHERN AFRICA                    
LIECHTENSTEIN,WESTERN EUROPE                     
LITHUANIA,BALTICS                            
LUXEMBOURG,WESTERN EUROPE                     
MACAU,ASIA (EX. NEAR EAST)         
MACEDONIA,EASTERN EUROPE                     
MADAGASCAR,SUB-SAHARAN AFRICA                 
MALAWI,SUB-SAHARAN AFRICA                 
MALAYSIA,ASIA (EX. NEAR EAST)         
MALDIVES,ASIA (EX. NEAR EAST)         
MALI,SUB-SAHARAN AFRICA                 
MALTA,WESTERN EUROPE                     
MARSHALL ISLANDS,OCEANIA                            
MARTINIQUE,LATIN AMER. & CARIB    
MAURITANIA,SUB-SAHARAN AFRICA                 
MAURITIUS,SUB-SAHARAN AFRICA                 
MAYOTTE,SUB-SAHARAN AFRICA                 
MEXICO,LATIN AMER. & CARIB    
"MICRONESIA, FED. ST.",OCEANIA                            
MOLDOVA,C.W. OF IND. STATES 
MONACO,WESTERN EUROPE                     
MONGOLIA,ASIA (EX. NEAR EAST)         
MONTSERRAT,LATIN AMER. & CARIB    
MOROCCO,NORTHERN AFRICA                    
MOZAMBIQUE,SUB-SAHARAN AFRICA                 
NAMIBIA,SUB-SAHARAN AFRICA                 
NAURU,OCEANIA                            
NEPAL,ASIA (EX. NEAR EAST)         
NETHERLANDS,WESTERN EUROPE                     
NETHERLANDS ANTILLES,LATIN AMER. & CARIB    
NEW CALEDONIA,OCEANIA                            
NEW ZEALAND,OCEANIA                            
NICARAGUA,LATIN AMER. & CARIB    
NIGER,SUB-SAHARAN AFRICA                 
NIGERIA,SUB-SAHARAN AFRICA                 
N. MARIANA ISLANDS,OCEANIA                            
NORWAY,WESTERN EUROPE                     
OMAN,NEAR EAST                          
PAKISTAN,ASIA (EX. NEAR EAST)         
PALAU,OCEANIA                            
PANAMA,LATIN AMER. & CARIB    
PAPUA NEW GUINEA,OCEANIA                            
PARAGUAY,LATIN AMER. & CARIB    
PERU,LATIN AMER. & CARIB    
PHILIPPINES,ASIA (EX. NEAR EAST)         
POLAND,EASTERN EUROPE                     
PORTUGAL,WESTERN EUROPE                     
PUERTO RICO,LATIN AMER. & CARIB    
QATAR,NEAR EAST                          
REUNION,SUB-SAHARAN AFRICA                 
ROMANIA,EASTERN EUROPE                     
RUSSIA,C.W. OF IND. STATES 
RWANDA,SUB-SAHARAN AFRICA                 
SAINT HELENA,SUB-SAHARAN AFRICA                 
SAINT KITTS & NEVIS,LATIN AMER. & CARIB    
SAINT LUCIA,LATIN AMER. & CARIB    
ST PIERRE & MIQUELON,NORTHERN AMERICA                   
SAINT VINCENT AND THE GRENADINES,LATIN AMER. & CARIB    
SAMOA,OCEANIA                            
SAN MARINO,WESTERN EUROPE                     
SAO TOME & PRINCIPE,SUB-SAHARAN AFRICA                 
SAUDI ARABIA,NEAR EAST                          
SENEGAL,SUB-SAHARAN AFRICA                 
SERBIA,EASTERN EUROPE                     
SEYCHELLES,SUB-SAHARAN AFRICA                 
SIERRA LEONE,SUB-SAHARAN AFRICA                 
SINGAPORE,ASIA (EX. NEAR EAST)         
SLOVAKIA,EASTERN EUROPE                     
SLOVENIA,EASTERN EUROPE                     
SOLOMON ISLANDS,OCEANIA                            
SOMALIA,SUB-SAHARAN AFRICA                 
SOUTH AFRICA,SUB-SAHARAN AFRICA                 
SPAIN,WESTERN EUROPE                     
SRI LANKA,ASIA (EX. NEAR EAST)         
SUDAN,SUB-SAHARAN AFRICA                 
SURINAME,LATIN AMER. & CARIB    
SWAZILAND,SUB-SAHARAN AFRICA                 
SWEDEN,WESTERN EUROPE                     
SWITZERLAND,WESTERN EUROPE                     
SYRIA,NEAR EAST                          
TAIWAN,ASIA (EX. NEAR EAST)         
TAJIKISTAN,C.W. OF IND. STATES 
TANZANIA,SUB-SAHARAN AFRICA                 
THAILAND,ASIA (EX. NEAR EAST)         
TOGO,SUB-SAHARAN AFRICA                 
TONGA,OCEANIA                            
TRINIDAD & TOBAGO,LATIN AMER. & CARIB    
TUNISIA,NORTHERN AFRICA                    
TURKEY,NEAR EAST                          
TURKMENISTAN,C.W. OF IND. STATES 
TURKS & CAICOS IS,LATIN AMER. & CARIB    
TUVALU,OCEANIA                            
UGANDA,SUB-SAHARAN AFRICA                 
UKRAINE,C.W. OF IND. STATES 
UNITED ARAB EMIRATES,NEAR EAST                          
UNITED KINGDOM,WESTERN EUROPE                     
UNITED STATES,NORTHERN AMERICA                   
URUGUAY,LATIN AMER. & CARIB    
UZBEKISTAN,C.W. OF IND. STATES 
VANUATU,OCEANIA                            
VENEZUELA,LATIN AMER. & CARIB    
VIET NAM,ASIA (EX. NEAR EAST)         
VIRGIN ISLANDS,LATIN AMER. & CARIB    
WALLIS AND FUTUNA,OCEANIA                            
WEST BANK,NEAR EAST                          
WESTERN SAHARA,NORTHERN AFRICA                    
YEMEN,NEAR EAST                          
ZAMBIA,SUB-SAHARAN AFRICA                 
ZIMBABWE,SUB-SAHARAN AFRICA                 
