SITC 2 DIGIT,2D DESC
00,LIVE ANIMALS
01,MEAT AND MEAT PREPARATIONS
02,DAIRY PRODUCTS AND BIRDS' EGGS
03,"FISH, CRUSTACEANS AND MOLLUSCS, AND PREPARATIONS THEREOF"
04,CEREALS AND CEREAL PREPARATIONS
05,VEGETABLES AND FRUITS
06,"SUGARS, SUGAR PREPARATIONS ANDHONEY"
07,"COFFEE, TEA, COCOA, SPICES, AND MANUFACTURES THEREOF"
08,FEEDING STUFF FOR ANIMALS (NOTINCLUDING UNMILLED CEREALS)
09,MISCELLANEOUS EDIBLE PRODUCTS AND PREPARATIONS
11,BEVERAGES
12,TOBACCO AND TOBACCO MANUFACTURES THEREOF
21,"HIDES, SKINS AND FURSKINS, RAW"
22,OIL SEEDS AND OLEAGINOUS FRUITS
23,CRUDE RUBBER (INCLUDING SYNTHETIC AND RECLAIMED)
24,CORK AND WOOD
25,PULP AND WASTE PAPER
26,TEXTILE FIBRES(OTHER THAN WOOLTOPS) AND THEIR WASTES (NOTMANUFACTURED INTO YARN OR FABRICS)
27,"CRUDE FERTILIZERS AND CRUDE MINERALS (EXCLUDING COAL, PETROLEUM AND PRECIOUS STONES)"
28,METALLIFEROUS ORES AND METALSCRAP
29,"CRUDE ANIMAL AND VEGETABLEMATERIALS, N.E.S."
32,"COAL, COKE AND BRIQUETTES"
33,"PETROLEUM, PETROLEUM PRODUCTS AND RELATED MATERIALS"
34,"GAS, NATURAL AND MANUFACTURED"
35,ELECTRIC CURRENT
41,ANIMAL OILS AND FATS
42,"FIXED VEGETABLE OILS AND FATS, CRUDE, REFINED OR FRACTIONATED"
43,"ANIMAL OR VEGETABLE OILSAND FATS,PROCESSED, AND WAXES OF ANIMAL ORVEGETABLE ORIGIN"
51,ORGANIC CHEMICALS
52,INORGANIC CHEMICALS
53,"DYEING, TANNING AND COLOURINGMATERIALS"
54,MEDICINAL AND PHARMACEUTICAL PRODUCTS
55,"ESSENTIAL OILS AND RESINOIDS AND PERFUME MATERIALS; TOILET, POLISHING AND CLEANSING"
56,"FERTILIZERS, MANUFACTURED"
57,PLASTICS IN PRIMARY FORMS
58,PLASTICS IN NON-PRIMARY FORMS
59,"CHEMICAL MATERIALS AND PRODUCTS,N.E.S."
61,"LEATHER, LEATHER MANUFACTURES,N.E.S. AND DRESSED FURSKINS"
62,"RUBBER MANUFACTURES, N.E.S."
63,CORK AND WOOD MANUFACTURES (EXCLUDING FURNITURE)
64,"PAPER, PAPERBOARD, AND ARTICLESOF PAPER PULP, OF PAPER ORPAPERBOARD"
65,"TEXTILE YARN, FABRICS, MADE-UPARICLES, N.E.S. AND RELATEDPRODUCTS"
66,NON-METALLIC MINERAL MANUFACTURESN.E.S.
67,IRON AND STEEL
68,NON-FERROUS METALS
69,"MANUFACTURES OF METAL, N.E.S."
71,POWER GENERATING MACHINERY AND EQUIPMENT
72,MACHINERY SPECIALIZED FORPARTICULAR INDUSTRIES
73,METALWORKING MACHINERY
74,"GENERAL INDUSTRIAL MACHINERY ANDEQUIPMENT, N.E.S. AND MACHINEPARTS, N.E.S."
75,OFFICE MACHINES AND AUTOMATIC DATA PROCESSING EQUIPMENT
76,TELECOMMUNICATIONS AND SOUND RECORDING AND REPRODUCING APPARATUS AND EQUIPMENT
77,"ELECTRICAL MACHINERY, APPARATUS AND APPLIANCES, N.E.S. AND ELECTRICAL PARTS THEREOF"
78,ROAD VEHICLES (INCLUDING AIR-CUSHION VEHICLES)
79,OTHERS TRANSPORT EQUIPMENT
81,"PREFABRICATED BUILDINGS,SANITARY,PLUMBING, HEATING AND LIGHTINGFIXTURES AND FITTINGS, N.E.S."
82,FURNITURE AND PARTS THEREOF
83,"TRAVEL GOODS, HANDBAGS AND SIMILARCONTAINERS"
84,ARTICLES OF APPAREL AND CLOTHINGACCESSORIES
85,FOOTWEAR
87,"PROFESSIONAL, SCIENTIFICANDCONTROLLING INSTRUMENTS ANDAPPARATUS, N.E.S."
88,"PHOTOGRAPHIC APPARATUS, EQUIPMENTAND SUPPLIED AND OPTICAL GOODS,N.E.S., WATCHES AND CLOCKS"
89,"MISCELLANEOUS MANUFACTURED ARTICLES, N.E.S."
93,SPECIAL TRANSACTIONS AND COMMODITIES
96,"COIN, EXCEPT GOLD COIN, UNISSUED"
97,"GOLD, NON-MONETARY"
